1073, 189
1094, 193
1115, 197
1136, 201
1157, 205
1178, 210
1199, 214
1220, 218
1241, 222
1262, 227
1283, 231
1304, 235
1324, 239
1345, 243
1366, 247
1387, 251
1408, 256
1429, 260
1450, 264
1471, 268
1492, 273
1513, 277
1534, 281
1555, 285
1576, 289
1597, 293
1618, 298
1639, 302
1660, 306
1681, 310
1702, 315
1723, 319
1744, 323
1765, 327
1786, 331
1807, 336
1828, 340
1849, 344
1870, 348
1891, 352
1912, 356
1933, 361
1954, 365
1975, 369
1995, 373
2016, 377
2036, 381
2057, 386
2078, 390
2099, 394
2120, 398
2140, 402
2161, 406
2182, 410
2203, 415
2224, 419
2244, 423
2265, 427
2286, 431
2307, 436
2328, 440
2349, 444
2370, 448
2391, 452
2412, 456
2433, 461
2454, 465
2475, 469
2496, 473
2517, 477
2538, 481
2558, 485
2579, 488
2600, 490
2621, 493
2642, 495
2663, 497
2684, 498
2705, 499
2726, 500

12, 0
32, 0
53, 1
74, 2
95, 4
116, 6
137, 7
158, 10
179, 13
200, 16
220, 19
241, 24
262, 27
283, 31
304, 35
325, 40
346, 44
367, 48
388, 52
409, 57
430, 61
451, 65
472, 69
493, 74
513, 78
534, 82
555, 86
576, 90
596, 94
617, 98
638, 102
659, 107
680, 111
701, 115
722, 119
743, 124
764, 128
785, 132
805, 136
826, 140
847, 144
868, 148
889, 153
910, 157
931, 161
952, 165
973, 169
994, 174
1015, 178
1036, 182
1057, 186
1078, 190
1099, 195
1120, 199
1141, 203
1162, 207
1183, 211
1204, 216
1225, 220
1246, 224
1267, 228
1288, 232
1309, 236
1330, 241
1351, 245
1372, 249
1393, 254
1414, 258
1435, 262
1456, 266
