435, 72
456, 80
477, 88
498, 96
519, 102
540, 111
561, 120
582, 129
603, 138
624, 147
645, 153
665, 162
686, 171
707, 177
728, 186
749, 195
770, 204
791, 213
811, 219
832, 228
853, 237
874, 246
895, 255
915, 261
936, 270
956, 279
977, 288
998, 294
1019, 303
1040, 312
1061, 321
1082, 327
1103, 336
1124, 345
1145, 354
1165, 360
1186, 369
1207, 378
1228, 387
1249, 396
1270, 405
1291, 411
1312, 420
1333, 429
1354, 438
1375, 447
1396, 453
1417, 462
1438, 471
1459, 480
1480, 489
1501, 495
1522, 504
1543, 513
1564, 522
1584, 528
1605, 537
1626, 546
1646, 555
1667, 561
1688, 570
1709, 579
1729, 588
1750, 594
1771, 606
1792, 612
1813, 621
1834, 630
1854, 636
1875, 645
1896, 654
1917, 663
1938, 672
1959, 678
1980, 687
2000, 696
2021, 705
2042, 714
2063, 720
2084, 729
2104, 738
2125, 747
2146, 753
2167, 762
2188, 771
2209, 780
2229, 786
2250, 795
2271, 804
2292, 813
2313, 822
2334, 828
2355, 837
2376, 846
2397, 855
2418, 864
2439, 870
2460, 879
2481, 888
2502, 897
2523, 907
2544, 913
2564, 921
2585, 927
2606, 935
2627, 941
2648, 947
2669, 953
2690, 959
2711, 965
2732, 969
2753, 973
2774, 979
2795, 982
2816, 985
2837, 988
2858, 991
2879, 993
2900, 995
2921, 997
2942, 998
2963, 999
2984, 1000

